बचाओ!	Help!
मुझे नहीं पता वह मेरे साथ वहाँ जाएगी कि नहीं।	I don't know if she will go there with me.
मैं यह मुश्किल काम उसके लिए छोड़ना चाहता हूँ।	I want to leave this difficult job to her.
तुम टीवी देखने में काफ़ी समय बरबाद कर रहे हो।	You're spending too much time watching TV.
उसे पैसे चुराने के लिए गिरफ़्तार कर लिया गया।	He was arrested because he stole the money.
यह कविता सबसे पहले फ़्रानसीसी में लिखी गई थी।	This poem was originally written in French.
मेरी पार्टी में जो भी आना चाहता है आ सकता है।	Whoever wants to come to my party may come.
मेरे लिए छः बजे से पहले उठना बहुत मुश्किल है।	It is difficult for me to get up before six.
मेरे पिता अपने शौक पर बहुत समय खर्च करते हैं।	My father spends a lot of time on his hobby.
मेरे माता-पिता अभी-अभी स्टेशन पर पहुँचें हैं।	My parents have just arrived at the station.
मेरी दो बहनें हैं और दोनो की शादी हो चुकी है।	I have two sisters, both of whom are married.
दवा तस्कर हवाई अड्डे पर गिरफ्तार किया गया था।	The drug smuggler was arrested at the airport.
उसने मुझे चिट्ठी का जवाब न देने के लिए डाँटा।	She reproached me for not answering the letter.
मुम्बई भारतीय राज्य महाराष्ट्र की राजधानी है।	Mumbai is the capital of the Indian state of Maharashtra.
मैं तुम्हारी पेनसिल इस्तेमाल कर सकता हूँ क्या?	Can I use your pencil?
उसे फ़्रानसीसी जर्मन से ज़्यादा अच्छी लगती है।	He prefers French to German.
उसने हमारे लिए बहुत ही शानदार भोजन तैयार किया।	She cooked us a wonderful meal.
तुम्हे इस बात के लिए मुझसे माफ़ी माँगनी चाहिए।	You owe me an apology for that.
क्या तुम्हें लगता है कि मछलियाँ सुन सकतीं हैं?	Do you think that fish can hear?
उसने मुझसे जल्द-से-जल्द उत्तर देने के लिए कहा।	He pressed me for a prompt reply.
मैं पुराने मंदिरों को देखने जाने का शौकीन हूँ।	My hobby is visiting old temples.
क्या आप मुझे बता सकते हैं कि यह किस नाप का है?	Can you tell me what size this is?
वह अपने प्रयोगों में कबूतरों का उपयोग करता था।	He used pigeons in his experiment.
हमारी मीटिंग कभी-कभार ही टाईम पर शुरू होती है।	Our meeting rarely starts on time.
क्या आप थोड़ी देर बाद फिरसे फ़ोन कर सकतें हैं?	Could you call again later, please?
मैं दस डॉलर से ज़्यादा नहीं खर्चना चाह्ता हूँ।	I don't want to spend more than $10.
हमने थोड़ी देर के लिए एक-दूसरे के साथ बात करी।	We talked to each other for a while.
उसने हमारे लिए बहुत ही शानदार भोजन तैयार किया।	She prepared a wonderful meal for us.
उन्होंने ख़ज़ाना ढूँढने के लिए यहाँ-वहाँ खोदा।	They dug here and there for treasure.
तुम्हे अपने समय का ठीक से इस्तेमाल करना चाहिए।	You should make good use of your time.
मैं उसके अक्खड़पन अब और बर्दाश्त नहीं कर सकता।	I cannot stand his arrogance any longer.
कोई नहीं बता सका उसका वह कहने से मतलब क्या था।	Nobody could tell what he meant by that.
उसने कपड़े उतारे बिना ही पानी में छलाँग लगादी।	He jumped into the water clothes and all.
उसने मुझे अंग्रेज़ी में लिखी हुई चिट्ठी दिखाई।	She showed me a letter written in English.
उसे पैसे चुराने के लिए हिरासत में ले लिया गया।	He was arrested because he stole the money.
यहाँ पिछले कुछ दिनों से दबाकर बारिश हो रही है।	It's been pouring here for the last few days.
अच्छा होगा कि तुम इस बुरे मौसम में बाहर न जाओ।	You had better not go out in this bad weather.
मैं जब ताईवान में था तब उसके साथ दोस्त बन गया।	While I was in Taiwan, I made friends with him.
एक बूढ़ा आदमी पेड़ की छाया में आराम कर रहा था।	An old man was resting in the shade of the tree.
तुम मानो या न मानो, उससे कोई फ़र्क नहीं पड़ता।	It makes no difference whether you agree or not.
उसने कपड़े उतारे बिना ही पानी में छलाँग लगादी।	He jumped into water without removing his clothes.
यह वह घर है जिसमें मैं रहता था जब मैं छोटा था।	This is the house where I lived when I was a child.
जापान में बीवा झील से बड़ी और कोई झील नहीं है।	In Japan there aren't any lakes bigger than Lake Biwa.
मैं पानी के बिना इन गोलियों को निगल नहीं सकती।	I can't swallow these tablets without a drink of water.
मैं इतना थक गया हूँ कि मुझसे और चला नहीं जाएगा।	I'm too tired to walk.
इसके बारे में चिंता करने से कोई फ़ायदा नहीं है।	It is no use worrying about it.
विमान दुर्घटना ने दो सौ लोगों की जानें लें लीं।	The plane crash took 200 lives.
तुमने उसके प्रस्ताव को स्वीकार क्यों नहीं किया?	Why did you turn down his offer?
"चलो टेनिस खेलने चलतें हैं। ""हाँ, चलो चलतें हैं"""	"Let's play tennis. ""Yes let's."""
मेरे पिताजी को अंग्रेज़ी अच्छे से बोलना आता है।	My father can speak English well.
तुम मेरे लिए एक बीटल्स का गाना गा सकते हो क्या?	Will you sing me a Beatles' song?
मुझे उसके काम करने की योग्यता पर भरोसा नहीं है।	I doubt his ability to do the job.
मैंने एक कुत्ते को तैरकर नदी पार करते हुए देखा।	I saw a dog swim across the river.
यह काम दोपहर तीन बजे से पहले खतम हो जाना चाहिए।	The job must be finished by 3 p.m.
मैं ऑक्सफ़र्ड विश्वविद्यालय में विद्यार्थी हूँ।	I am a student at Oxford University.
मेरे पापा रात को खाना खाने के बाद दौड़ने गए थे।	My father went jogging after dinner.
माँ ने मेरे उनका मज़ाक उड़ाने के लिए डाँट लगाई।	Mom scolded me for making fun of them.
मेरी बहन अपने कमरे को हमेशा साफ़-सुथरा रखती है।	My sister always keeps her room clean.
तुम्हें आसमान में बहुत सारे सितारे दिखाई देंगे।	You can see a lot of stars in the sky.
उसके पास कुछ भी कहने को नहीं था, तो वह चला गया।	He had nothing to say, so he went away.
हमे पर्यावरण की रक्षा करने की कोशिश करनी चाहिए।	We must try to protect the environment.
मम्मी और मैं किसी भी पहलू में एक-समान नहीं हैं।	Mother and I are different in every way.
तुम हमेशा लोगों की बुराई करने को तैयार रहते हो।	You are too ready to speak ill of others.
आज कर्मचारियों को थोड़ा जल्दी घर जाने देते हैं।	Let's let the workers go home early today.
भारत में रहने के दौरान मेरे पास पैसे खतम हो गए।	I ran out of money during my stay in India.
भारत का मौसम इंग्लैड के मौसम से एकसमान नहीं है।	India has a different climate from England.
रबड़ की गेंद उछलती है क्योंकि वह लचीली होती है।	A rubber ball bounces because it is elastic.
मुझे ठंड लग रही है। खिड़की बंद कर सकते हो क्या?	I feel cold. Do you mind closing the window?
उसने जैसे ही अपनी मम्मी को देखा, वह चिल्ला उठी।	She cried out the moment she saw her mother.
मेरे पिताजी मेरे सबसे बड़े प्रेरणा के स्रोत हैं।	My father is my biggest source of inspiration.
इस गाड़ी का पिछले दस साल से इस्तेमाल हो रहा है।	This car has been used for the past ten years.
मेरी ट्रेन में एक पुराने दोस्त से मुलाक़ात हुई।	I came upon an old friend of mine on the train.
मुझे इस हफ़्ते बहुत सारा काम कर के खतम करना है।	I have lots of work to clear up by the weekend.
मुझे नहीं पता मैं उनपर कितना भरोसा कर सकता हूँ।	I have no idea to what extent I can trust them.
वह आदमी तो भला है, पर बात बहुत ज़्यादा करता है।	He is a nice man, except that he talks too much.
मुझे बहुत सारे शब्दों और वाक्यांशों को रटना है।	I have to learn many words and phrases by heart.
अगर हो सके तो मैं विष्व यात्रा पर जाना चाहूँगा।	If possible, I'd like to travel around the world.
वह बूढ़ा आदमी आँखें बंद करके कुरसी में बैठा था।	The old man sat in the chair with his eyes closed.
कहा जाता है कि वह दुनिया में सबसे अमीर आदमी है।	It is said that he is the richest man in the world.
मैं उसके आने से पहले अपना होमवर्क खतम कर लूँगा।	I will get through with my homework before he comes.
हमने इस नगर को कल सुबह छोड़ने का इरादा किया है।	We have decided on leaving this town tomorrow morning.
मुझे जगे रहने के लिए शायद और कॉफ़ी पीनी पड़ेगी।	In order to stay awake I may have to drink more coffee.
आपसे बात करके खुशी हुई, पर अब मुझे जाना पड़ेगा।	It's been nice talking to you, but I really must go now.
मेरे ख़याल से तुम्हे सिगरेट पीना छोड़ देना चहिए।	I advise you to stop smoking.
मैंने उन किताबों जो जर्मनी से खरीदकर मंगवाया था।	I ordered those books from Germany.
लकड़ी से बनी इमारतों में आग आसानी से लग जाती है।	Wooden buildings catch fire easily.
ईश्वर उनकी मदद करता है जो स्वयं की मदद करते हैं।	God helps those who help themselves.
मैंने सपने में भी नहीं सोचा था कि तुम हार जाओगे।	I never dreamed that you would lose.
मुझे कभी-कभी अपनी नौकरी छोड़ देने का मन करता है।	At times I feel like quitting my job.
उसने मुझसे उसकी असभ्यता के बारे में शिक़ायत करी।	She complained to me of his rudeness.
हम सब तुम्हारे स्वास्थ्य के लिए बहुत चिंतित हैं।	We are all anxious about your health.
मुझे कल सोते समय दिमाग़ में एक अच्छा आयडिया आया।	A good idea occurred to me last night.
जब मैं छोटा था मैं हमेशा जल्दी सोकर उठा करता था।	I always got up early in my childhood.
वह मुर्झाई हुई पत्तियों को गिरते हुए देख रही थी।	She was watching the dead leaves fall.
यह वाईन चखकर देखो तुम्हें अच्छी लगती है कि नहीं।	Taste this wine to see if you like it.
उसको मनाने की कोशिश करने में कोई फ़ायदा नहीं है।	There's no use trying to persuade him.
मैंने छोटी उम्र से ही गाना गाना शुरू कर दिया था।	I began to sing when I was a youngster.
उसके नसीब में उससे फिरसे मिलना नहीं लिखा हुआ था।	He was destined never to meet her again.
मैं मुसीबत के समय में हमेशा उसपर भरोसा करती हूँ।	I always rely on him in times of trouble.
मैंने किसी को पीछे से मेरे नाम पुकारते हुए सुना।	I heard someone call my name from behind.
बेकरी में जो लड़की काम करती है वह बहुत क्यूट है।	The girl who works at the bakery is cute.
मैं समझ नहीं पा रहा था कि वह कहना क्या चाहता था।	I couldn't make out what he wanted to say.
यह कॉफ़ी इतनी गरम है कि मुझसे पी नहीं जा रही है।	This coffee is so hot that I can't drink it.
एवरेस्ट पर्वत दुनिया का सबसे ऊँचा पर्वत शिखर है।	Mt. Everest is the highest peak in the world.
वे अभी व्यस्थ हैं और आपसे बात नहीं कर सकतीं हैं।	She is busy at present and can't speak to you.
क्या मुझे बता सकते हो कि मशीन को कब बंद करना है?	Can you tell me when to switch the machine off?
खुलकर बोलूँ तो मैं उसके साथ काम नहीं करना चाहता।	Frankly speaking, I don't want to work with him.
इंग्लैंड की राजधानी लंदन थेम्स नदी के किनारे है।	London, the capital of England, is on the Thames.
मुझे नहीं लगता कि टॉम परीक्षा में उत्तीर्ण होगा।	I have a gut feeling that Tom won't pass the test.
मेरे हाथ गंदे हैं। मैं अपनी साईकल ठीक कर रहा था।	My hands are dirty. I have been repairing my bicycle.
आसमान से वह नदी एक विशाल सांप की तरह दिख रही थी।	Seen from the sky, the river looked like a huge snake.
उस फ़िल्म को देखना भारत के सफ़र पर जाने जैसा है।	Seeing that movie is something like taking a trip to India.
वे जो मर्ज़ी कहें मुझे उससे कोई फ़र्क नहीं पड़ता।	I don't care what they say.
उन्होंने ज़्यादा मेहनत से काम करने का इरादा किया।	They resolved to work harder.
ताज़ी सब्ज़ियाँ स्वास्थ्य के लिए अच्छी होतीं हैं।	Fresh vegetables promote health.
उसने मुझसे पूछा कि मैं उसका पता जानता था या नहीं।	She asked me if I knew her address.
वह जहाँ भी जाए, वह कुत्ता उसके पीछे-पीछे जाता था।	The dog followed him wherever he went.
वह मुझे भारत के बारे में कहानियाँ सुनाया करता था।	He used to tell me stories about India.
उसने मुझे अपनी शादी में आने का का न्योता दिया है।	He has invited me to attend his wedding.
हमारे पास इस काम को खतम करने के लिए कितना समय है?	How much time do we have to finish this?
मैंने फ़रिश्तों को देखा है, उनसे बातचीत भी की है।	I have seen angels and talked with them.
क्या तुम उस आदमी को उसकी तस्वीर से पहचान सकते हो?	Can you identify the man in this picture?
उसने मुझे अपनी शादी में आने का का न्योता दिया है।	She has invited me to attend her wedding.
आप किसी को बिस्तर बनाने के लिए भेज सकते हैं क्या?	Could you send someone up to make the bed?
हमारा स्वास्थ्य हमारी सबसे कीमती संपत्ति होती है।	Health is the most precious thing we have.
मैंने उसके रोने की याद को भुला देने की कोशिश करी।	I tried to erase the memory of her crying.
चलो चलें, जितनी सारी चीज़ें देख सकते हैं देख आएँ।	Let's go and see as many things as we can.
हमारा स्वास्थ्य हमारी सबसे कीमती संपत्ति होती है।	Our health is our most precious possession.
उसने पुराने अखबारों को एक ढेर में करके छोड़ दिया।	She left the old newspapers lying in a heap.
उस सिनेमा हॉल में हमेशा अच्छी फ़िल्में लगतीं हैं।	That movie theater always shows good movies.
सोच रही हूँ उसकी दी हुई तस्वीर को कहाँ टाँगा जाए।	I wonder where to hang the picture he gave me.
जल्दबाज़ी में काम करोगे तो ग़लतियाँ तो होंगीं ही।	You make mistakes if you do things in a hurry.
तुम्हें अपने जन्मदिन पर बहुत सारे तोहफ़े मिलेंगे।	You'll get a lot of presents on your birthday.
ये अंगूर इतने खट्टे हैं कि मुझसे खाए नहीं जा रहे।	These grapes are so sour that I can't eat them.
तुम्हे इस किताब का अनुवाद करने में कितना समय लगा?	How long did it take you to translate this book?
मुझे याद है कि मेरी माँ ने मुझे क-ख-ग-ध सिखाए थे।	I remember my mother's teaching me the alphabet.
आप यह स्वेटर बड़े नाप वाले के लिए बदल देंगे क्या?	Will you exchange this sweater for a larger one?
उसने वसीयत में अपनी पत्नी को सारी जायदाद छोड़ दी।	He left all his property to his wife in his will.
पिताजी मेरे पहाड़ पर अकेले जाने से राज़ी नहीं थे।	Father objected to my going to the mountain alone.
भारत बहुत सालों तक ग्रेट ब्रिटेन के कबज़े में था।	India was governed by Great Britain for many years.
उसके टोक्यो आते ही मैं तुम्हें तुरंत फ़ोन करूँगी।	When he arrives in Tokyo, I'll call you right away.
मुझे स्टेशन के बाहर अपना एक पुराना दोस्त मिल गया।	I ran into an old friend of mine outside the station.
मैं किसी को तुम्हें घर से लेने के लिए भिजवादूँगा।	I'll arrange for someone to pick you up at your home.
राजा ने हुक़्म दिया कि क़ैदी को रिहा कर दिया जाए।	The king ordered that the prisoner should be set free.
पुलिस ने उस लड़की के क़ातिल को हरासत में ले लिया।	The police arrested the man who had murdered the girl.
"एक कहावत है, ""कुछ पाने के लिए कुछ खोना पड़ता है""।"	"As the saying goes, ""Nothing ventured, nothing gained."""
अगर थक गए हो तो पढ़ाई करने से कोई फ़ायदा नहीं है।	There is no point in studying if you are feeling tired.
पंद्रह अगस्त के दिन हज़ारों लोग पतंग उड़ातें हैं।	On the fifteenth of August, thousands of people fly kites.
तुम आज जाओ या कल, इससे ज़्यादा फ़र्क नहीं पड़ेगा।	It will not make much difference whether you go today or tomorrow.
मुझे लगता है कि तुम्हे तुम्हारा काम अच्छा लगता है।	I believe you like your job.
ऑस्ट्रेलिया ऊन का बड़ी मात्रा में निर्यात करता है।	Australia exports a lot of wool.
तुम्हारे पास शिकायत करने के लिए को भी वजह नहीं है।	You've got nothing to complain of.
अपनी ही जल्दबाज़ी मे मैं सीढ़ियों से नीचे गिर गया।	I fell down the stairs in my haste.
आजकल बहुत कम विद्यार्थी पेनसिल इस्तेमाल करतें हैं।	Few students use pencils these days.
मैं अपनी नानी से हफ़्ते में दो बार मिलने जाता हूँ।	I visit my grandmother twice a week.
मैं अपनी दादी से हफ़्ते में दो बार मिलने जाता हूँ।	I visit my grandmother twice a week.
मुझे ठीक से नहीं पता इस शब्द को कैसे पढ़ा जाता है।	I am not sure how to pronounce the word.
मैं उसे पहचानता हूँ पर मैं उससे कभी मिला नहीं हूँ।	I've never met her, but I recognize her.
मैं उसे पहचानता हूँ पर मैं उससे कभी मिला नहीं हूँ।	I've never met him, but I recognize him.
जंग के समय में हमे चीनी के बिना ही काम चलाना पड़ा।	During the war, we had to do without sugar.
मेरी स्टेशन के रास्ते पर अपनी टीचर से मुलाकात हुई।	I met my teacher on the way to the station.
दरवाज़े पर ताला लगा हुआ था और हम अंदर नहीं जा सके।	The door was locked and we couldn't get in.
तुम्हारी योजना के लिए बहुत सारे पैसे की ज़रूरत है।	Your plan requires a large amount of money.
जो भी पहले आएँगे उन्हें सबसे अच्छी सीटें मिलेंगीं।	Whoever comes first will get the best seats.
कल मेरा जन्मदिन है, और मैं सत्रह साल का हो जाऊँगा।	Tomorrow is my birthday and I will be seventeen.
कल मेरा जन्मदिन है, और मैं सत्रह साल की हो जाऊँगी।	Tomorrow is my birthday and I will be seventeen.
तुम्हें जैसे ही यह पत्र मिले मुझे लिखकर जवाब देना।	Write back to me as soon as you get this letter.
उसने इतना लम्बा भाषण दिया कि हम सब को बोर कर डाला।	He made such a long speech that we all got bored.
अगर कॉफ़ी ज़्यादा कड़वी है तो थोड़ा और पानी डाललो।	If the coffee is too strong, add some more water.
आपातकालीन स्तिथि में मुझे क्या नम्बर मिलाना चाहिए?	What number should I call in case of an emergency?
अस्पताल में मुझसे बहुत देर तक इन्तज़ार करवाया गया।	I was kept waiting for a long time at the hospital.
थोड़ी हिचकिचाहट के बाद, उसने किताब को मेज़ पर रखा।	After some hesitation, he laid the book on the desk.
सरकार ने उद्योग बढ़ाने के लिए कार्यक्रम शुरू किया।	The government started a program to promote industry.
बहार जाने से पहले सारी बत्तियाँ बंद करना मत भूलना।	Make sure to turn off all the lights before going out.
अंग्रेज़ी बोलते समय गलतियों का डर नहीं होना चाहिए।	Don't be afraid to make mistakes when speaking English.
मेरा स्टॉप छूट गया। अगला स्टॉप कितनी देर में आएगा?	I missed my stop. How long does it take to reach the next stop?
उसने अपने दुख को अपनी मुस्कुराहट के पीछे छिपा लिया।	He hid his sadness behind a smile.
तुम आमतौर पर रात में खाना खाने के बाद क्या करते हो?	What do you usually do after dinner?
उस लड़की ने अपने आँसुओं को रोकने की बहुत कोशिश करी।	The girl tried hard to hold back her tears.
तुम शहर के इस हिस्से को अच्छी तरह से जानते हो क्या?	Do you know this part of the city very well?
मुझे नहीं पता मैं उनपर किस हद तक भरोसा कर सकता हूँ।	I have no idea to what extent I can trust them.
भारत को ब्रिटेन से १९४७ में स्वतंत्रता प्राप्त हुई।	India gained independence from Britain in 1947.
पिछले हफ़्ते क्लास से पाँच विद्यार्थी अनुपस्थित थे।	Last week five students were absent from class.
क्या तुम्हे लगता है वह फिरसे प्रेसीडेंट चुना जाएगा?	Do you think he will be elected president again?
शायद हमें उस मीटिंग में जाने की ज़रूरत नहीं पड़ेगी।	It may not be necessary for us to go to that meeting.
आजकल अंग्रेज़ी अच्छे से बोलना जानना बहुत ज़रूरी है।	It is essential to have good command of English nowadays.
लगता है कि बारिश होगी। तुम्हे छाता लेकर जाना चाहिए।	It looks like rain. You had better take an umbrella with you.
आज सुबह मौसम इतना खराब था कि मुझे टैक्सी लेनी पड़ी।	This morning the weather was so bad that I had to take a taxi.
उन दिनों में मैं (रात में) जल्दी से सो जाया करता था।	In those days, I went to bed earlier.
उन्होंने ने मुझसे टूटी हुई खिड़की के लिए पैसे माँगे।	They charged me for the broken window.
मुझे अभी तक उस फ़िल्म को देखने का मौका नहीं मिला है।	I haven't had a chance to see the movie yet.
मैं बहुत बार उससे सम्पर्क करने की कोशिश कर चुकी हूँ।	I have tried innumerable times to contact him.
मैंने उसका नाम लिख लिया जिससे कि मैं उसे भूल न जाऊँ।	I wrote down his name so I wouldn't forget it.
मैंने एक लड़की को देखा जिसके बाल उसकी कमर तक आते थे।	I saw a girl whose hair came down to her waist.
टॉम पूछ रहा है कि तुमने उसे कॉल बैक क्यों नहीं किया।	Tom wants to know why you didn't call him back.
वह आठ साल का था जब उसने अपने माता-पिता को छोड़ दिया।	He left his parents when he was eight years old.
जब वह अगली बार आएगा, मैं उसे इसके बारे में बाताऊँगा।	I will tell him about it when he comes next time.
जब वह अगली बार आएगा, मैं उसे इसके बारे में बाताऊँगी।	I will tell him about it when he comes next time.
मैंने दस साल की उम्र में ही गिटार बजाना सीख लिया था।	I learned to play guitar when I was ten years old.
मुझे बड़े शहरों का प्रदूषित वातावरण अच्छा नहीं लगता।	I don't like the polluted atmosphere of big cities.
हमे लोगों की पीठ के पीछे उनकी बुराई नहीं करनी चाहिए।	We must not speak ill of others behind their backs.
मैं जल्दी उठा था, क्योंकि मुझे पहली ट्रेन पकड़नी थी।	I got up early, so that I could catch the first train.
अगर तुममें थोड़ा और सब्र होता तो तुम कामयाब हो जाते।	With a little more patience, you would have succeeded.
इंग्लैड से भारत तक का सफ़र छः महीनों का हुआ करता था।	The voyage from England to India used to take 6 months.
तुम्हें पता नहीं कि वे दो साल पहले ही गुज़र चुके थे?	Didn't you know that he passed away about two years ago?
कुछ लड़के मछलियाँ पकड़ रहे हैं, और बाकी तैर रहे हैं।	Some of the boys are fishing and the others are swimming.
हम सूरज के डूबने से पहले अपनी मंजिल तक पहुँच जाएँगे।	By the time the sun sets, we will arrive at the destination.
कोई भी नई भाषा सीखने में ग़लतियों से डरना नहीं चहिए।	You must not be afraid of making mistakes when learning a language.
माफ़ कीजिएगा, पर मैं आपको ठीक से सुन नहीं पा रहा हूँ।	I'm sorry, but I can't hear you well.
माफ़ कीजिएगा, पर मैं आपको ठीक से सुन नहीं पा रही हूँ।	I'm sorry, but I can't hear you well.
मेरे जान-पहचान की एक लड़की को युनिसायकल चलाना आता है।	I know a girl who can ride a unicycle.
अफ़्रीका को एक समय में अंधेर महाद्वीप बुलाया जाता था।	Africa was once called the Dark Continent.
उसने अपने अभिमान की वजह से किसी से भी मदद नहीं मांगी।	His pride didn't allow him to ask for help.
जब लोग उसके खिलाफ़ जातें हैं तो वह गुस्सा हो जाता है।	He tends to get angry when people oppose him.
तुम अच्छी और बुरी अंग्रेज़ी में कैसे अंतर कर सकते हो?	How can you tell good English from bad English?
तुम्हें जल्द-से-जल्द डॉक्टर के पास जाने की ज़रूरत है।	It is necessary for you to see a doctor at once.
ग़ौर से देखा। मैं तुम्हें दिखाऊँगा कैसे किया जाता है।	Look carefully. I'm going to show you how it's done.
हेलमेट पहने बिना मोटरसाईकल चलाना बहुत खतरनाक होता है।	It is dangerous to ride a motorbike without a helmet.
१६०० की शतक में चाय को भारत से यूरोप में लाया गया था।	In the 1600s, tea was introduced into Europe from India.
तुम अमीर हो या ग़रीब, इससे मुझे कोई फ़र्क नहीं पड़ता।	It makes no difference to me whether you are rich or poor.
ऐसा लगता है जैसे कि सभी लोगों को गौल्फ़ अच्छा लगता है।	It seems that everybody likes golf.
कुछ लोगों को चाय अच्छी लगती है, और कुछ लोगों को कॉफ़ी।	Some like tea, others prefer coffee.
मैंने अपने पापा को फूलों को पानी डालने में मदद करी थी।	I helped my father water the flowers.
काश मेरे पास और समय होता तुम्हारे साथ बात करने के लिए।	I wish I had more time to talk with you.
मेरे पास तुम्हारी काम में मदद करने के लिए समय नहीं है।	I have no time to help you with the work.
मेरे ख़याल से विदेशी भाषाएँ बहुत ही दिलचस्प होतीं हैं।	I find foreign languages very interesting.
तुम्हें इसे लिख लेना चाहिए, जिससे पहले कि तुम भूल जाओ।	You should write it down before you forget it.
वह अपने बेटे को नहीं देख पाया तो वह आत्महत्या कर लेगा।	He will commit suicide if he can't see his son.
मैंने उसे एक-दो मिनट पहले टॉयलेट में जाते हुए देखा था।	I saw him go into the toilet a few minutes ago.
"वे फिरसे हड़ताल कर सकते हैं क्या? ""लगता तो ऐसा ही है।"""	"Will they go on strike again? ""I'm afraid so."""
मैं उसे पहचानता हूँ पर मैंने उससे कभी बात नहीं करी है।	I know her by sight, but I've never spoken to her.
मतलबी इनसान केवल अपनी भावनाओं के बारे में ही सोचता है।	A selfish man thinks of nothing but his own feelings.
तुमको लोगों कि पीठ के पीछे उनकी बुराई नहीं करनी चाहिए।	You should not speak ill of others behind their backs.
हमे पर्यावरण के प्रदूषण को रोकने का प्रयास करना चाहिए।	We ought to do our best not to pollute our environment.
अपने परिवार के लिए खाना खरीदना भी मेरे लिए मुश्किल है।	I can barely afford to buy enough food to feed my family.
अधिकारियों ने सच्चाई को आम जनता से छिपा कर रखा हुआ है।	The authorities have been hiding the facts from the public.
मछवारे ने पकड़ी हुई मछली के आकार को बढ़ा-चढ़ाकर बताया।	The fisherman exaggerated the size of the fish he had caught.
तुम्हे स्कूल में पढ़ाना छोड़े हुए कितना समय हो गया है?	How long has it been since you gave up teaching at that school?
तम्हें नहीं लगता कि एसी कुछ ज़्यादा ही तेज़ चल रहा है?	Don't you think the air conditioner is turned up too high in here?
कमरे से निकलने से पहले, कृपया बत्तियाँ बंद कर दीजिएगा।	When you leave the room, please make sure you turn off the lights.
वह जहाँ भी जाता है, उसका कुत्ता उसके पीछे पीछे जाता है।	His dog follows him wherever he goes.
मैं तुम्हें तुम्हारे होमवर्क के साथ मदद करना चाहता हूँ।	I want to help you with your homework.
मुझे नहीं पता मेरे पास यह करने के लिए समय होगा कि नहीं।	I don't know if I'll have time to do it.
मैंने उसे पहले देखा हुआ था, इसलिए मैंने उसे पहचान लिया।	Having seen him before, I recognized him.
मुझे पूरा विश्वास है कि उसने कोई भी ग़लत काम नहीं किया।	I am convinced that he did nothing wrong.
वह कभी-कभी उससे भारत की बात करने की कोशिश किया करती थी।	Sometimes she tried talking to him about India.
हमारे पास ग्राहक नहीं थे, तो हमने दुकान जल्दी बंद करदी।	We had no customers, so we shut the shop early.
इतने अड़ियल व्यक्ति से मेरी कभी भी मुलाकात नहीं हुई है।	I have never come across such a stubborn person.
वह बहुत ध्यानपूर्वक है, इसलिए बहुत कम ग़लतियाँ करती है।	She is very careful, so she seldom makes mistakes.
टीवी समाचार के मुताबिक, भारत में विमान दुर्घटना हुई है।	According to TV news, there was a plane crash in India.
एक माँ अपने बच्चों के बर्ताव के लिए ज़िम्मेदार होती है।	A mother is responsible for the conduct of her children.
अगर मैं नहीं आ पाया तो तुम्हें पहले फ़ोन करके बतादूँगा।	In case I can’t come, I’ll give you a call beforehand.
जापान दुनिया के सबसे ताकतशाली अर्थतंत्रों में से एक है।	Japan is one of the greatest economic powers in the world.
कम्पनी ने उसकी सेवाओं की पहचान में उसे सोनी की घड़ी दी।	The company gave him a gold watch in acknowledgement of his services.
अगर मेरे पास पंख होते तो मैं उड़कर तुम्हारे पास चला आता।	If I had wings, I would fly to you.
अगर लम्बी ज़िन्दगी जीना चाहते हो तो सिगरेट पीना छोड़ दो।	Give up smoking if you want to live long.
अगर तुम मदद चाह्ते हो, तो मैं मदद करने के लिए तैयार हूँ।	I'm willing to help you if you want me to.
मेरे पिता ने मुझसे बिस्तर में किताबें पढ़ने से मना किया।	My father told me not to read books in bed.
