वह डॉक्टर नहीं है।	She's not a doctor.
उसने लाल रंग के कपड़े पहने थे।	She wore a red dress.
इन कर्मचारियों को नौकरी से निकालने की बजाय क्यों न हम इनके काम करना का समय कम करदें?	Instead of laying off these workers, why don't we just cut their hours?
तुम्हें अपने शौक पर इतने सारे पैसे खर्च नहीं करने चाहिए थे।	You ought not to have spent so much money on your hobby.
वे एक-दूसरे से नफ़रत करते थे।	They hated each other.
हम तालाब के आस-पास टहलें।	We walked around the pond.
ज़बान सम्भाल के बात करो।	Watch your language.
ट्रेन पटरी से उतर गई।	The train ran off the tracks.
तुम्हारी उम्र क्या है?	What is your age?
मुझे उसकी झलक दिखाई दी।	I caught a glimpse of her.
हमने उसके प्रस्ताव को स्वीकार कर लिया।	We accepted his offer.
जापानियों की आँखें कालीं होतीं हैं।	The Japanese have dark eyes.
उसके पैर लम्बे हैं।	He has long legs.
हम अरबी पढ़तें हैं।	We study Arabic.
खुशी क्या होती है?	What is happiness?
जल्दबाज़ी में काम करोगे तो ग़लतियाँ तो होंगीं ही।	You make mistakes if you do things in a hurry.
क्या आज कोई अनुपस्थित है?	Is anyone absent today?
हम अक्सर ग़लतियाँ कर बैठते हैं।	We often make mistakes.
१९५१ में सिस्टर टेरेसा को कलकत्ता भेजा गया था, जो उस समय भारत का सबसे बड़ा शहर था।	In 1951, Sister Teresa was sent to Calcutta, then the largest city in India.
आपके पास अपौइंटमेंट है क्या?	Do you have an appointment?
कर भला तो हो भला।	You reap what you sow.
हम उनको परेशान कर रहें हैं।	We are disturbing him.
राजा की देश पर हुकूमत थी।	The king governed the country.
आवाज़ थोड़ी धीमी कर सकते हो क्या?	Would you mind speaking a little softer please?
गेट को खुला छोड़ दिया गया था।	The gate was left open.
उसकी नीली आँखें हैं।	She has blue eyes.
कल मेरा जन्मदिन था।	Yesterday was my birthday.
क्लासरूम में घुसते समय अपनी टोपी उतारा करो।	Take off your hat when you enter a classroom.
उसने मेरी जवानी का फ़ायदा उठाया।	He took advantage of my youth.
आप यह स्वेटर बड़े नाप वाले के लिए बदल देंगे क्या?	Will you exchange this sweater for a larger one?
हमे एक-दूसरे को समझने की कोशिश करनी चाहिए।	We should try to understand one another.
उनको दूर से बंदूक की आवाज़ सुनाई दी।	They heard a gun go off in the distance.
मैंने दोपहरभर अपने दोस्तों से गप मारी।	I spent the whole afternoon chatting with friends.
जल्दी करो नहीं तो बस छूट जाएगी।	Hurry up, or you'll miss the bus.
उसके हाथ-पैर लम्बे हैं।	She has long arms and legs.
सुख क्या होता है?	What is happiness?
कुत्ते को रोज़ खिलाईएगा।	Please feed the dog every day.
कनाडा में कौनसी भाषाएं बोली जाती हैं?	What languages do they speak in Canada?
सब टॉम के लिए दुःखी थे I	Everyone felt sorry for Tom.
तुम मानो या न मानो, उससे कोई फ़र्क नहीं पड़ता।	It makes no difference whether you agree or not.
मुझे वापस फ़ोन करना मत भूलना।	Don't fail to call me back.
मेरे पास कल उसकी एक चिट्ठी आई।	I had a letter from her yesterday.
ऐसी वफ़ादारी खरीदी नहीं जा सकती।	You can't buy that kind of loyalty.
आज बहुत ठंडा है ना?	It is very cold today, isn't it?
उसको बहुत सारे अंग्रेज़ी शब्द आते हैं।	She has a rich vocabulary of English words.
इस ड्रेस को कितनी जल्दी तैयार कर सकते हो?	How soon can you have this dress ready?
हमने मान लिया था कि वह हमारे साथ आएगा।	We took it for granted that he would join us.
तुम किस तरह का काम करोगे?	What kind of work will you do?
वे हालांकि जुड़वा हैं, उनके शोक एक-दूसरे से बहुत अलग हैं।	Although they are twins, they have few interests in common.
उसने मुझसे एक एहसान माँगा।	He asked me if I could do him a favor.
मेरे लिए थोड़ी जगह बनाओगे क्या?	Will you make room for me?
इस सवाल के सारे जवाब ग़लत थे।	All the answers to this question were wrong.
हम उसे अपना हीरो मानते हैं।	We regard him as our hero.
कपड़े बदलने का कमरा कहाँ पर है?	Where is the changing room?
उन्हें अपनी टीचर से डाँट पड़ी।	They were scolded by the teacher.
आपको क्या करना अच्छा लगता है?	What do you like to do?
मैंने उस औरत को गस्सा दिलाया।	I made the woman angry.
वे उसे समझदार मानते हैं।	They consider him intelligent.
बैट्समेन आऊट हो गया था।	The batter was out.
उसने उसे अकेले न जाने की चेतावनी दी।	She warned him not to go alone.
हम नदी को तैरकर पार कर पाए।	We managed to swim across the river.
उन्होंने अपने देश को त्याग दिया।	They abandoned their country.
उसने टूटे हुए टुकड़ों को वापस जोड़ा।	He stuck the broken pieces together.
वह अपनी तस्वीर जो भी चाहे उसको दे देगी।	She will give her picture to whoever wants it.
मुझे कॉफ़ी पीना पसंद नहीं।	I don't like to drink coffee.
हमने उस उम्मीदवार को चुना।	We voted for the candidate.
तुम फिरसे चालू हो गए।	You are at it again.
यहाँ हस्ताक्षर कर सकते हैं क्या?	Could you sign here?
शराब की एक बूंद भी मत पियो।	Don't drink any alcohol.
आप जिस वाक्य का अनुवाद कर रहे हैं, उस ही का अच्छी तरह से अनुवाद करें। दूसरी भाषाओं के अनुवादों से प्रभावित न होने दें।	Make a good translation of the sentence that you are translating. Don't let translations into other languages influence you.
कुछ दिन पहले उसकी माँ हस्पताल में चल बसीं।	The other day her mother passed away in the hospital.
खाना खाने से पहले अपने हाथ धोओ।	Wash your hands before meals.
तुम्हारे पास काफ़ी समय था।	You had plenty of time.
मेरा बस्ता चोरी हो गया था।	My bag was stolen.
तुम कैसी हो?	How are you?
उसने मेरे जवान होने का फ़ायदा उठाया।	He took advantage of my youth.
दरवाज़े पर ताला लगा हुआ था और हम अंदर नहीं जा सके।	The door was locked and we couldn't get in.
मेरी किताब कहाँ है?	Where's my book?
आपके पास इससे बड़े नाप का है क्या?	Do you have a larger size?
मुझे उनकी मदद करनी पड़ेगी।	I will have to help them.
अगर मेरे पास पंख होते तो मैं उड़कर तुम्हारे पास चला आता।	If I had wings, I would fly to you.
तुम मेरी कलम इस्तेमाल कर सकते हो।	You may use my pen.
वह खबर सुनकर हैरान रह गई।	She was very surprised at the news.
आपका नाम क्या है?	What is your name?
उन्होंने पुस्तकालय को बहुत सारी किताबें दीं।	They furnished the library with many books.
ट्रेन हल्के से आकर रुकी।	The train came to a smooth stop.
तुम आमतौर पर कितने बजे सोते हो ?	When do you usually go to bed?
बच्चों ने एक-दूसरे की नकल करने की कोशिश करी।	The children tried to imitate their teacher.
तुम्हें पता नहीं कि वे दो साल पहले ही गुज़र चुके थे?	Didn't you know that he passed away about two years ago?
मैंने रहने की बजाय जाने का इरादा किया।	I chose to leave instead of staying behind.
तुम कुरसी पर बैठ सकते हो।	You may sit down on the chair.
राजा ने अपने दुश्मनों को कुचल दिया।	The king crushed his enemies.
मुझे तुम्हें स्टेशन तक पहुँचाने दो।	Let me give you a lift as far as the station.
मछवारे ने पकड़ी हुई मछली के आकार को बढ़ा-चढ़ाकर बताया।	The fisherman exaggerated the size of the fish he had caught.
दुल्हन अचानक से हँस पड़ी।	The bride suddenly laughed.
कुछ लोगों को चाय अच्छी लगती है, और कुछ लोगों को कॉफ़ी।	Some like tea, others prefer coffee.
उसने काम अपने-आप किया।	He did the work on his own.
पार्टी शुरू करते हैं।	Let's start the party.
उसने फटाफट चिट्ठी का जवाब दिया।	He lost no time answering the letter.
तुम इनसान हो।	You're a person.
हमें मौत की सज़ा को हटा देना चाहिए।	We should do away with the death penalty.
एक गिलहरी डालियों के बीच छुपी हुई थी।	A squirrel hid among the branches.
यहाँ एक चर्च हुआ करता था।	There used to be a church here.
उसने इतना लम्बा भाषण दिया कि हम सब को बोर कर डाला।	He made such a long speech that we all got bored.
नीचे रहो, नहीं तो तुम्हें गोली लग जाएगी।	Keep down, or you'll be shot.
ये हमारी किताबें हैं।	These are our books.
मैंने कल एक किताब खरीदी थी।	I bought a book yesterday.
तूफ़ान ने पूरे शहर को तबाह कर दिया।	The storm destroyed the whole town.
मैंने उन किताबों जो जर्मनी से खरीदकर मंगवाया था।	I ordered those books from Germany.
क्या आपको कम्प्यूटर का इस्तेमाल करना आता है?	Do you know how to use a computer?
रेखांकित शब्दों को सुधारिए।	Correct the underlined words.
मैं आपको थोड़ी देर बाद फ़ोन करूँगा।	I'll call you back later.
इस प्रश्न के सारे उत्तर ग़लत थे।	All the answers to this question were wrong.
मेरे बॉस ने मुझसे पिछले रविवार को काम करवाया।	My boss made me work last Sunday.
तुम मुझसे क्या करवाना चाहते हो?	What do you want me to do?
वैसे, तुम कभी होक्काईदो गई हुई हो क्या?	By the way, have you ever been to Hokkaido?
उसे ये कमीज़ें धुलवानीं हैं।	He wants these shirts washed.
ईश्वर उनकी मदद करता है जो स्वयं की मदद करते हैं।	God helps those who help themselves.
हमने बच्चे को बस पर चढ़ते हुए देखा।	We saw the child get on the bus.
तुम्हें गाड़ी चलाना आता है क्या?	Can you drive a car?
एक और गिलास चाय लेंगे क्या?	Will you have another cup of tea?
माँ ने मेरे उनका मज़ाक उड़ाने के लिए डाँट लगाई।	Mom scolded me for making fun of them.
हमने उस उम्मीदवार को अपना मत दिया।	We voted for the candidate.
तूफ़ान ने पूरे नगर को नष्ट कर दिया।	The storm destroyed the whole town.
हम उस पर कितना भरोसा कर सकते हैं?	To what degree can we trust him?
उसने तुम्हें धोखा दिया।	She betrayed you.
मेरे पैसे चोरी हो गए।	My money was stolen.
क्या तुम मुझपर यकीन करते हो?	Do you believe me?
उसने हमारे लिए बहुत ही शानदार भोजन तैयार किया।	She prepared a wonderful meal for us.
क्या आपको कम्प्यूटर का उपयोग करना आता है?	Do you know how to use a computer?
जब मैं वहाँ पहुँचा, वे जाने वाले थे।	They were about to leave when I arrived there.
मेरी दोनो बहनें शादीशुदा हैं।	Both of my sisters are married.
कल तीन आदमी जेल से भाग गए।	Three men broke out of prison yesterday.
उसे नारंगी अच्छे लगते हैं।	He likes oranges.
उसे संत्रे अच्छे लगते हैं।	He likes oranges.
जंगल के जानवर मर गए।	The animals in the forest died off.
छत पर घूरने के बजाए उपन्यास ही पढ़लो।	You might as well read a novel instead of staring at the ceiling.
उसने सफ़ेद कपड़े पहने हुएँ हैं।	She is dressed in white.
तम्हे क्या करना अच्छा लगता है?	What do you like to do?
उस चाबी के साथतानी मत करो!	Don't play with that key!
इस कहानी का लेखक कौन है?	Who is the author of this story?
हमारे औरडर का क्या हुआ?	What happened to our order?
मेरे सवालों का जवाब दो।	Answer my questions.
मेरी आँखें थक गईं हैं।	My eyes are tired.
तुम इन वाक्यों का क्या माईने निकालते हो?	How do you interpret these sentences?
हमें अपने दोस्तों से मदद माँगनी पड़ेगी।	We will have to call on our friends to help us.
तुम उसपर भरोसा कर सकते हो।	You may rely on him.
बच्चे पर ध्यान रखना थोड़ी देर के लिए।	Keep an eye on the baby for a while.
हम एक दिन भारत का सफ़र करने जाएंगे।	Some day we'll take a trip to India.
इस महीने दो क़त्ल हुए हैं।	There were two murders this month.
इस उपन्यास का लेखक कौन है?	Who is the author of the novel?
"आप कहाँ रहते हैं? ""मैं टोक्यो में रहता हूँ"""	"Where do you live? ""I live in Tokyo."""
हो सकता है कि उसकी कहानी सच न हो।	His story may not be true.
तुम्हारे पास एक कुत्ता है, है न?	You keep a dog, don't you?
बच्चे को ज़बरदस्ती मत खिलाओ।	Don't force the child to eat.
उसके टोक्यो आते ही मैं तुम्हें तुरंत फ़ोन करूँगी।	When he arrives in Tokyo, I'll call you right away.
दो और दो चार होते हैं।	Two plus two makes four.
ये कुत्ते बड़े हैं।	These dogs are big.
तुम आज जाओ या कल, इससे ज़्यादा फ़र्क नहीं पड़ेगा।	It will not make much difference whether you go today or tomorrow.
टीवी का रिमोट कहाँ है?	Where's the remote control for the TV?
उन्होंने ख़ज़ाना ढूँढने के लिए यहाँ-वहाँ खोदा।	They dug here and there for treasure.
चोरों ने पैसे ढूँढने के लिए मेज़ की सारी दराज़ें खोल डालीं।	The thieves pulled open all the drawers of the desk in search of money.
मेरे हिसाब के मुताबिक उसको अभी तक भारत पहुँच जाना चाहिए था।	According to my calculation, she should be in India by now.
हमे पर्यावरण की रक्षा करने की कोशिश करनी चाहिए।	We must try to protect the environment.
मेरे पापा अभी अभी घर वापस आएँ हैं।	My father has just come home.
उसने विदेश जाने का निर्णय लिया।	He decided to go abroad.
वो बस से आया था कि ट्रेन से?	Did he come by bus or by train?
हम हवा के बिना मर जाएँगे।	We would die without air.
उनकी मौत कल दोपहर को हुई थी।	She died yesterday afternoon.
क्या तुम्हे मुझपर यकीन है?	Do you believe me?
मेरे पापा आमतौर पर छः बजे घर लौटकर आते हैं।	My father usually comes home at six.
जब मैं अठारह साल का था मैंने गाड़ी चलानी सीखी और लाईसेंस बनवालिया।	I learned to drive a car and got a driver's license when I was eighteen.
दरवाज़े पर एक आदमी दिखाई दिया।	A man appeared at the door.
तुम कहाँ थे?	Where were you?
तुम्हें अपने जन्मदिन पर बहुत सारे तोहफ़े मिलेंगे।	You'll get a lot of presents on your birthday.
उन्होंने ने मुझसे टूटी हुई खिड़की के लिए पैसे माँगे।	They charged me for the broken window.
मैं बस स्कूल पहुँचा ही था कि घंटी बज गई।	I had hardly reached the school when the bell rang.
तुम्हारे कोई भाई हैं क्या?	Do you have any brothers?
जब उसने उनके वेतन बढ़ाने से इनकार कर दिया, उन्होंने हड़ताल कर दी।	When he would not give them higher pay, they went on strike.
उसने मेरी कमीज़ खींची।	She pulled my shirt.
मेरे साथ नाचना चाहोगी क्या?	Would you like to dance with me?
तुम्हारी घड़ी सही है क्या?	Is your watch correct?
अगली बार अपनी बहन को भी साथ लाना।	Bring your sister next time.
तुम्हे बस उसकी सलाह के मुताबिक काम करना होगा।	All you have to do is follow his advice.
तुम्हारे पास भाई-बहन हैं क्या?	Do you have brothers and sisters?
दरवाज़े को खुला मत छोड़ो।	Don't leave the door open.
मुझे अपना नाम और फ़ोन नम्बर बताईये।	Please tell me your name and telephone number.
मैंने उसका नाम लिख लिया जिससे कि मैं उसे भूल न जाऊँ।	I wrote down his name so I wouldn't forget it.
"टीचर ने कहा, ""बस आज के लिए इतना ही।"""	"The teacher said, ""That's all for today."""
उसको पैसों की कमी थी।	He was hard up.
ये किताबें मेरीं हैं।	These books are mine.
दस बजने वाले हैं।	It is almost ten o'clock.
बेहतर होगा कि इस बात को अनदेखा किया जाए।	It is better to ignore this point.
हमने मुनाफ़े को अपने बीच बाँटा।	We shared the profit among us all.
वे कल आएँगे क्या?	Will he come tomorrow?
पंद्रह अगस्त के दिन हज़ारों लोग पतंग उड़ातें हैं।	On the fifteenth of August, thousands of people fly kites.
मेरी नानी धीरे-धीरे बोलतीं हैं।	My grandmother speaks slowly.
उसकी नानी ने उसे पाल-पोस कर बड़ा किया था।	She was brought up by her grandmother.
मैं इस कोटे तक भला कैसे पहुंच सकता हूँ?	How can I meet this quota?
क्या तुम्हें गाड़ी चलाना आता है?	Do you know how to drive a car?
उसने एक किलो मक्खन खरीदा।	She bought two pounds of butter.
उसने एक दर्जन अंडे खरीदे।	She bought a dozen eggs.
सरकार ने उद्योग बढ़ाने के लिए कार्यक्रम शुरू किया।	The government started a program to promote industry.
उसकी दादी ने उसे पाल-पोस कर बड़ा किया था।	She was brought up by her grandmother.
कहना और करना अलग-अलग बातें हैं।	Saying and doing are two different things.
क्या आपको अपना नाप पता है?	Do you know your size?
तुम कॉलेज जाकर क्या करोगे?	What are you going to do in college?
तुम कब लौट कर आओगे?	When will you return?
कुछ लोगों को बिल्लियाँ अच्छी लगतीं हैं, कुछ लोगों को कुत्ते।	Some people like cats, others prefer dogs.
माफ़ कीजिएगा, आप मेरी मदद कर सकते हैं क्या?	Excuse me, but can you help me?
उसने पिछले साल स्कूल बदला था।	He changed schools last year.
आप डॉक्टर हैं क्या?	Are you a doctor?
छः बजने वाले हैं।	It's almost six o'clock.
मेरी याद आई क्या?	Did you miss me?
वे फ़िल्म देख रहे हैं।	They are watching a movie.
कल रविवार था, तो मैं पूरे दिन सोते रहा।	I slept all day yesterday, because it was Sunday.
क्या पैसे उधार लिए जा सकते हैं?	Is it possible to borrow money?
मैं एक ऐसी चीज़ ढूँढ रहा था जिसका अस्तित्व कभी था ही नहीं।	I was searching for something that didn't exist.
तुम्हारे बाल कुछ ज़्यादा ही लम्बे हैं।	Your hair is too long.
उसकी निराशा सभी आसानी से दिख सकते थे।	Everyone could easily see his disappointment.
तुम कहाँ रहते हो?	Where do you live?
मैंने उसके बाहर जाने की आवाज़ सुनी।	I heard him go out.
मेरे ख़याल से तुम्हे सिगरेट पीना छोड़ देना चहिए।	I advise you to stop smoking.
हवाई अड्डा कहाँ पर है?	Where's the airport?
यहाँ एक बड़ा तालाब हुआ करता था।	There used to be a big pond around here.
टॉम चला गया क्या?	Has Tom left?
दक्षिण टर्मिनल कहाँ पर है?	Where is the south terminal?
आधा किलो कितने का है?	How much for half a kilo?
उसके नाना की उम्र क्या होनी चाहिए?	How old might his grandfather be?
सभी लोग आराम की ज़िन्दगी जीना चाहते हैं।	Everybody wants to live in comfort.
ये प्रश्न सरल हैं।	These questions are easy to answer.
अपने दफ़्तर को हमेशा साफ़-सुथरा रखना चाहिए।	Always keep your office tidy.
उसने मुझपर ग़लती करने का इलज़ाम लगाया।	She accused me of making a mistake.
तुम्हें क्या लगता है? खिड़की किसने तोड़ी है?	Who do you think broke the window?
क्या तुम्हें लगता है कि मछलियाँ सुन सकतीं हैं?	Do you think that fish can hear?
मैंने एक कुत्ते को तैरकर नदी पार करते हुए देखा।	I saw a dog swim across the river.
नए साल की बधाईयाँ।	Happy New Year!
डॉक्टर ने उसे सिगरेट कम पीने को कहा।	The doctor told him to cut down on smoking.
मैंने तुम्हे बताने की कोशिश करी थी।	I tried to tell you.
अंग्रेज़ी बोलना मुश्किल होता है क्या?	Is it hard to speak English?
उसे दरवाज़ा खोलते ही किसी चीज़ के जलने की बदबू सुँघाई दी।	The instant he opened the door, he smelt something burning.
मैंने कल रात एक प्रेम पत्र लिखा था।	I wrote a love letter last night.
इस महीने दो हत्याएँ हुईं हैं।	There were two murders this month.
वे डूबते हुए जहाज़ से निकल गए।	They abandoned the sinking ship.
मैंने रात का खाना पकाया।	I cooked dinner.
टीवी चालू कर दोगे क्या?	Will you turn on the television?
नए ब्रिज को इन्द्रधनुष ब्रिज का नाम दिया गया।	The new bridge was named Rainbow Bridge.
तुम कहाँ जा रहे हो?	Where are you going?
तुमने अपना होमवर्क कर लिया क्या?	Did you do your homework?
हम यह फ़ैसला नहीं ले पा रहें हैं कि कॉलेज जाएं या न जाएं।	We cannot decide whether to go to college or not.
मेरा स्टॉप छूट गया। अगला स्टॉप कितनी देर में आएगा?	I missed my stop. How long does it take to reach the next stop?
तुम नाकामयाब इसलिए रहे क्योंकि तुमने पूरी तरह मेहनत नहीं लगाई।	The reason why you failed is you did not try hard enough.
मैंने उस घोड़े पर पाँच पाऊंड की बाज़ी लगाई।	I bet five pounds on the horse.
उसने अपनी बंदूक का निशाना मुझपर लगाया।	He leveled his gun at me.
तुम्हे अकेले रहना अच्छा लगता है क्या?	How do you like living on your own?
उसने मुझको बहुत देर तक घूरकर देखा।	She gazed at me for a long time.
मेरी बुआ-जी मेरे लिए फूल लाईं।	My aunt brought me flowers.
उसने मुझसे मदद मांगी।	She asked me for help.
तुम कहाँ रहती हो?	Where do you live?
उस राजा से उसकी ताक़त छीन ली गई।	The king was deprived of his power.
वे कम-से-कम साठ बरस के तो होंगे।	He must be over sixty.
तुम यह किताब न ही पढ़ो बेहतर होगा।	You had better not read this book.
"एक कहावत है, ""कुछ पाने के लिए कुछ खोना पड़ता है""।"	"As the saying goes, ""Nothing ventured, nothing gained."""
डॉक्टर साहब, आपका बहुत बहुत धन्यवाद।	Thank you very much, doctor.
अपने सहपाठियों की बुराई मत करो।	Don't speak ill of your classmates.
मेरे साथ आईए।	Please follow me.
तुमने कल क्या किया?	What did you do yesterday?
वे आखिरकार नज़र से बाहर निकल गए।	They went out of sight at last.
इससे सस्ता वाला है क्या?	Do you have one that's cheaper?
गुलदान टूट कर चूर-चूर हो गया।	The vase was broken to pieces.
काश ये समस्या मुझे हुई होती।	I wish I had this problem.
पौधे बारिश के बिना मर गए।	Absence of rain caused the plants to die.
उसने हमसे बहुत देर तक इंतेज़ार करवाया।	He kept us waiting for a long time.
बारह बजने वाले हैं।	It is almost 12 o'clock.
राजा ने हुक़्म दिया कि क़ैदी को रिहा कर दिया जाए।	The king ordered that the prisoner should be set free.
आपने कभी किताब लिखी है क्या?	Have you ever written a book?
उसने वैसा करा जैसे उसे बताया गया था।	He did it as he had been told.
तुम कल रात रेडियो को बंद करना भूल गए थे ना?	Last night you forgot to turn off the radio, didn't you?
तुम्हे उसकी उम्र का भी लिहाज करना चाहिए।	You must take his age into account.
इस दीवार पर मत झुँको।	Don't lean against this wall.
ग्यारह बज चुके हैं।	It is already eleven.
होमवर्क किया क्या?	Did you do your homework?
इस कविता क्या आप क्या अर्थ निकालते हैं?	How do you interpret this poem?
हम तुम्हारे साथ सैर करने चलें क्या?	May we accompany you on your walk?
हमने नदी के किनारे सैर करी।	He walked along the river.
तुम समझे नहीं।	You didn't understand.
बत्ती चालू कर दोगे क्या?	Will you turn on the light?
क्या तुम इसे राज़ रख सकते हो?	Can you keep it a secret?
इस दवाई को हर छः घंटे लेना।	Take this medicine every six hours.
ये अंगूर इतने खट्टे हैं कि मुझसे खाए नहीं जा रहे।	These grapes are so sour that I can't eat them.
क्या ढूँढ रहे हो?	What are you looking for?
कल रात क्या हुआ?	What happened last night?
तुम नसीब वालो हो जिसके इतना प्यार करने वाले माँ-बाप हैं।	You are fortunate to have such loving parents.
तुम्हें जैसे ही यह पत्र मिले मुझे लिखकर जवाब देना।	Write back to me as soon as you get this letter.
तेरा बाप टीचर है क्या?	Is your father a teacher?
घंटी बज चुकी है क्या?	Has the bell rung yet?
हम बहुत थक चुके थे।	We were very tired.
अपनी अंग्रेज़ी सुधारने की कोशिश करो।	Try to improve your English.
बहुत महंगी है!	It's too expensive!
बहुत महंगा है!	It's too expensive!
मैंने एक लड़की को देखा जिसके बाल उसकी कमर तक आते थे।	I saw a girl whose hair came down to her waist.
मुझे आपकी मदद करके खुशी होगी।	I will be pleased to help you.
अगर मुझे उसका पता पता होता, तो मैंने उसे चिट्ठी लिखी हुई होती।	If I had known her address, I would have written to her.
तुम अच्छा काम कर रहे हो। ऐसे ही करते रहो।	You are doing very well. Keep it up.
टॉम और मेरी हमारा प्लैन जानना चाहते हैं।	Tom and Mary want to know what our plan is.
उसने उसको अकेले जाने दिया।	She allowed him to go alone.
अब उनके तीन बच्चे हैं।	Now they have three children.
चलो बेसबॉल खेलतें हैं।	Let's play baseball!
नौ बज चुकें हैं।	It's already nine o'clock.
उन्होंने मेरी का मज़ाक उड़ाया।	They made fun of Mary.
क्या आपको गाड़ी चलाना आता है?	Do you know how to drive a car?
उसने अपनी सिगरेट पीने की बुरी आदत छोड़ दी।	He broke himself of the bad habit of smoking.
हम आमतौर पर साढ़े सात बजे नाश्ता खाते हैं।	We usually have breakfast at 7:30.
क्या मैरी तुम्हारी बेटी है?	Is Mary your daughter?
आप एक और कप चाय पीना चाहेंगे क्या?	Would you like another cup of tea?
एक बार और प्रयत्न करो।	Try it once again.
तुम थक गए हो, है ना?	You are tired, aren't you?
पुलीसवाले ने आदमी को दरवाज़ा खोलते देखा।	The policeman observed the man open the door.
तुमने रेडियो पर खबर सुनी क्या?	Did you hear the news on the radio?
वे दोनों अच्छे अध्यापक हैं।	They are both good teachers.
उसने तैरना सीखा।	He learned how to swim.
हमारे पास ग्राहक नहीं थे, तो हमने दुकान जल्दी बंद करदी।	We had no customers, so we shut the shop early.
मैंने उसके साथ तुम्हारा नाम लिया था।	I mentioned your name to him.
आपसे बात करके खुशी हुई, पर अब मुझे जाना पड़ेगा।	It's been nice talking to you, but I really must go now.
हवा ने पत्तियों को यहाँ-वहाँ बिखेर दिया।	The wind scattered the leaves about.
ज़ुकाम हो तो यह दवाई ले लेना।	Take this medicine when you have a cold.
मेरी बात ने उसके अभिमान पर चोट पहुँचाई।	What I said hurt his pride.
भूख ने उसे चोरी करने पर मजबूर किया।	Hunger drove him to steal.
उसने खिड़की पर ज़ोर लगाकर खटखटाया।	He hammered at the window.
उसने बहुत सी महंगी चीज़ें खरीदीं।	He made many costly purchases.
मैंने दूध की दो बोतलें ख़रीदीं।	I bought two bottles of milk.
मुझसे बात क्यों कर रहे हो?	Why are you talking to me?
मदर टेरेसा एक कैथोलिक नन थीं जो कलकत्ता में रहतीं और काम करतीं थीं।	Mother Teresa was a Catholic nun who lived and worked in Calcutta, India.
मरीज़ आँखें बंद कर बिस्टर पर लेटा हुआ था।	The patient was lying in the bed with his eyes closed.
उसने सिगरेट पीना छोड़ने का फ़ैसला किया।	He decided to quit smoking.
चिड़ियाँ घोसले बनातीं हैं।	Birds build nests.
चादरें गीलीं लगतीं हैं।	The sheets feel damp.
पक्षी घोसले बनातें हैं।	Birds build nests.
तुम अगले महीने अम्रीका जाओगे क्या?	Will you go to America next month?
दो लड़के कमरे से भागे निकल आए।	Two boys came running out of the room.
कल मौसम अच्छा होगा क्या?	Will the weather be good tomorrow?
सारे फूल मुरझा गए हैं।	The flowers have all withered.
किसको पता है?	Who knows?
किसे पता है?	Who knows?
उस गाड़ी ने बहुत धूल उड़ाई।	The car raised a cloud of dust.
मेरे पास जो भी पैसे थे मैंने उसे दे दिए।	I gave him what money I had.
गुलदान को किसने तोड़ दिया?	Who broke the vase?
तुम्हे कल आना चाहिए था।	You should have come yesterday.
तुम उसे कैसे जानते थे?	How did you come to know her?
उन्होंने मांग करी है कि इस किताब की सारी कॉपियाँ नष्ट कर दीं जाएं।	They have demanded that all copies of the book be destroyed.
तुम किस समय घर जाती हो?	What time do you go home?
किसी ने दरवाज़े पर खटखटाया।	Someone knocked on the door.
कुछ सांप ज़हरीले होते हैं।	Some snakes are poisonous.
उन्होंने डूबते हुए जहाज़ को छोड़ दिया।	They abandoned the sinking ship.
तुम कितने बजे घर जाते हो?	What time do you go home?
कुछ मछलियाँ उड़ सकतीं हैं।	Some fish fly.
तुम यहाँ क्यों आए हो?	What have you come here for?
हर आदमी को खाना बनाना सीखना चाहिए।	Every man should learn how to cook.
क्या हमे कल सुबह जल्दी उठना है?	Do we have to get up early tomorrow morning?
गैलीलियो ने क्या देखा?	What did Galileo see?
कैसा चल रहा है?	How is it going?
कोई और रास्ता भी होगा।	There must be another way.
तुम्हारे पैर सूज गए हैं क्योंकि तुम्हारे जूते बहुत छोटे हैं।	Your feet are swollen because your shoes are too small.
उन्होंने उसपर गाड़ी ग़लत खड़ी करने के लिए पाँच हज़ार येन का जुर्माना लगाया।	They fined him 5,000 yen for illegal parking.
उसने हमारा प्रस्ताव स्वीकार कर लिया।	He accepted our offer.
उसके साथ रास्ते पर कुछ हुआ होगा।	Something must have happened to him on the way.
क्या तुम्हारे पापा टीचर हैं?	Is your father a teacher?
उसने गाते गाते काम किया।	He sang while working.
क्या आप लोग ठीक हो?	Are you guys OK?
तुम कहाँ गए थे?	Where did you go?
माफ़ कीजिएगा, यहाँ कोई बैठा हुआ है क्या?	Excuse me, is this seat taken?
ये क्या किताबें हैं?	Whose books are these?
तुम्हारे पास टिकटें बचीं हैं क्या?	Do you have any tickets left?
मुश्किल कहाँ है?	Where is the problem?
और इंतेज़ार करना समय की सरासर बर्बादी होगी।	It's an absolute waste of time to wait any longer.
उसका कलाकार बनने का सपना सच हो गया।	He realized his dream of becoming an artist.
उसे बहुत सारा पैसा मिला।	He got a lot of money.
